block_id,session_id,block_order,block_type,source_block_name,volume_m,prescription_text,zones,styles,materials,skills,parse_origin,machine_status,source_sheet,source_row
RKF-18+-MF-06-B07,RKF-18+-MF-06,7,Pós-série,Pós-série,400,400 pós A1,A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,7
RKF-18+-MF-06-B08,RKF-18+-MF-06,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,7
RKF-18+-MF-07-B01,RKF-18+-MF-07,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-07-B02,RKF-18+-MF-07,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-07-B03,RKF-18+-MF-07,3,Perna,Perna,800,800: 8×100 perna prog A1→A3 @20–30s,A3|A1,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-07-B04,RKF-18+-MF-07,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-07-B05,RKF-18+-MF-07,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-07-B06,RKF-18+-MF-07,6,Principal,Principal + intervalos,2400,6×400: 100 perna A3@30 +100 nado A1@15 +2×50 nado A3@25 +50 A1@15 +50 AN1@45; +1'15 entre blocos.,AN1|A3|A1,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-07-B07,RKF-18+-MF-07,7,Pós-série,Pós-série,200,200 pós A1,A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-07-B08,RKF-18+-MF-07,8,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,8
RKF-18+-MF-08-B01,RKF-18+-MF-08,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-08-B02,RKF-18+-MF-08,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-08-B03,RKF-18+-MF-08,3,Perna,Perna,500,500 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-08-B04,RKF-18+-MF-08,4,Braço/Força,Braço/Força,600,600 perna A2/A3,A3|A2,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-08-B05,RKF-18+-MF-08,5,Pré-série,Pré-série,300,300 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-08-B06,RKF-18+-MF-08,6,Principal,Principal + intervalos,2600,4×650: 4×50 perna A1@15/A3@25/A1@15/AN1@40 +2×100 nado A3@30 +100 A1@20 +2×50 AN1@45 +50 A1@20; +1' extra.,AN1|A3|A1,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-08-B07,RKF-18+-MF-08,7,Pós-série,Pós-série,300,300 pós A1,A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-08-B08,RKF-18+-MF-08,8,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,9
RKF-18+-MF-09-B01,RKF-18+-MF-09,1,Aquecimento,Aquecimento,1000,1000 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-09-B02,RKF-18+-MF-09,2,Técnica/Fundamento,Técnica,600,600 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-09-B03,RKF-18+-MF-09,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-09-B04,RKF-18+-MF-09,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-09-B05,RKF-18+-MF-09,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-09-B06,RKF-18+-MF-09,6,Principal,Principal + intervalos,2400,2×900: 3×150 (50 A1+50 A2+50 A3)@30 +3×100 (50 A1+50 A3)@30 +3×50 AN1@45; +1'45 entre blocos. Após 2' fazer 4×150 prog A1→A3 @30.,AN1|A3|A2|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-09-B07,RKF-18+-MF-09,7,Pós-série,Pós-série,500,500 pós A1,A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-09-B08,RKF-18+-MF-09,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,10
RKF-18+-MF-10-B01,RKF-18+-MF-10,1,Aquecimento,Aquecimento,1000,1000: 400 livre+400 IM leve+4×50 prog,,Livre/Crawl|Medley,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-10-B02,RKF-18+-MF-10,2,Técnica/Fundamento,Técnica,800,"800: 16×50, 4 por estilo",,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-10-B03,RKF-18+-MF-10,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-10-B04,RKF-18+-MF-10,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-10-B05,RKF-18+-MF-10,5,Pré-série,Pré-série,600,600 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-10-B06,RKF-18+-MF-10,6,Principal,Principal + intervalos,2400,"6×400 IM: #1 A1; #2 últimos50 A3; #3 50A1+50A3; #4 fly/back A3; #5 breast/free A3; #6 25A1+25A3+25A1+25AN1. Intervalos 1'30 nos #1–3, 2' nos #4–5; segmentos internos 10–15s quando necessário.",A3|A1,Borboleta,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-10-B07,RKF-18+-MF-10,7,Pós-série,Pós-série,400,400 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-10-B08,RKF-18+-MF-10,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,11
RKF-18+-MF-11-B01,RKF-18+-MF-11,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-11-B02,RKF-18+-MF-11,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-11-B03,RKF-18+-MF-11,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-11-B04,RKF-18+-MF-11,4,Braço/Força,Braço/Força,500,500 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-11-B05,RKF-18+-MF-11,5,Pré-série,Pré-série,300,300 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-11-B06,RKF-18+-MF-11,6,Principal,Principal + intervalos,2800,4×700: 50 AN1@45 +100 A3@30 +150 A1@15 +200 A1@15 +150 A3@35 +50 AN1@50; +1'40 entre blocos.,AN1|A3|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-11-B07,RKF-18+-MF-11,7,Pós-série,Pós-série,300,300 pós A1,A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-11-B08,RKF-18+-MF-11,8,Regenerativo,Regenerativo,300,300 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,12
RKF-18+-MF-12-B01,RKF-18+-MF-12,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-12-B02,RKF-18+-MF-12,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-12-B03,RKF-18+-MF-12,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-12-B04,RKF-18+-MF-12,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-12-B05,RKF-18+-MF-12,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-12-B06,RKF-18+-MF-12,6,Principal,Principal + intervalos,2400,6×4×100: cada 100=25 resistido+75 nado; #1 75A1@20 #2 75A3@30 #3 75A1@20 #4 25A3+50AN1@45; +1'15 após #4.,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-12-B07,RKF-18+-MF-12,7,Pós-série,Pós-série,300,300 pós A1,A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-12-B08,RKF-18+-MF-12,8,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,13
RKF-18+-MF-13-B01,RKF-18+-MF-13,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-13-B02,RKF-18+-MF-13,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-13-B03,RKF-18+-MF-13,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-13-B04,RKF-18+-MF-13,4,Braço/Força,Braço/Força,600,—,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-13-B05,RKF-18+-MF-13,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-13-B06,RKF-18+-MF-13,6,Principal,Principal + intervalos,1800,6×400: 25 paraq+palmar+pé@30 →25 palmar+pé@25 →25 pé@20 →25 limpo A3@30 →100 A1@20 →2×50 A3@30 →50 A1@15 →50 AN1@45; +1'15.,AN1|A3|A1,,Palmar,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-13-B07,RKF-18+-MF-13,7,Pós-série,Pós-série,700,700: 7×100 A1 técnico,A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-13-B08,RKF-18+-MF-13,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,14
RKF-18+-MF-14-B01,RKF-18+-MF-14,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-14-B02,RKF-18+-MF-14,2,Técnica/Fundamento,Técnica,700,700: 14×50 borbo 25 drill+25 completo,,Borboleta,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-14-B03,RKF-18+-MF-14,3,Perna,Perna,600,600 ondulatória ventral/dorsal/submersa,,,,Submerso,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-14-B04,RKF-18+-MF-14,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-14-B05,RKF-18+-MF-14,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-14-B06,RKF-18+-MF-14,6,Principal,Principal + intervalos,2400,4×600: 4×50 borbo A3@30 +200 livre A1@20 +2×50 borbo AN1@50 +100 livre A1@30; só +1' entre blocos.,AN1|A3|A1,Livre/Crawl|Borboleta,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-14-B07,RKF-18+-MF-14,7,Pós-série,Pós-série,400,400: 8×50 técnico,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-14-B08,RKF-18+-MF-14,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,15
RKF-18+-MF-15-B01,RKF-18+-MF-15,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-15-B02,RKF-18+-MF-15,2,Técnica/Fundamento,Técnica,700,700 técnica costas,,Costas,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-15-B03,RKF-18+-MF-15,3,Perna,Perna,700,700 perna costas,,Costas,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-15-B04,RKF-18+-MF-15,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-15-B05,RKF-18+-MF-15,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-15-B06,RKF-18+-MF-15,6,Principal,Principal + intervalos,2400,8×300: 50 costas A3@30 +100 livre A1@20 +50 costas AN1@45 +50 A1@15 +50 costas A3@30; +1' entre 300s e +1' extra após #2/#4/#6.,AN1|A3|A1,Livre/Crawl|Costas,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-15-B07,RKF-18+-MF-15,7,Pós-série,Pós-série,400,400 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-15-B08,RKF-18+-MF-15,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,16
RKF-18+-MF-16-B01,RKF-18+-MF-16,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-16-B02,RKF-18+-MF-16,2,Técnica/Fundamento,Técnica,700,700 técnica peito,,Peito,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-16-B03,RKF-18+-MF-16,3,Perna,Perna,700,700 perna peito,,Peito,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-16-B04,RKF-18+-MF-16,4,Braço/Força,Braço/Força,400,400 braço/pullout,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-16-B05,RKF-18+-MF-16,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-16-B06,RKF-18+-MF-16,6,Principal,Principal + intervalos,2400,6×400: 50 perna peito A3@30 +50 peito A3@30 +100 livre A1@20 +50 peito A3 alto@35 +100 livre A1@20 +50 peito AN1@50; +1'30 entre blocos.,AN1|A3|A1,Livre/Crawl|Peito,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-16-B07,RKF-18+-MF-16,7,Pós-série,Pós-série,400,400 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-16-B08,RKF-18+-MF-16,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,17
RKF-18+-MF-17-B01,RKF-18+-MF-17,1,Aquecimento,Aquecimento,1000,1000 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-17-B02,RKF-18+-MF-17,2,Técnica/Fundamento,Técnica,600,600 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-17-B03,RKF-18+-MF-17,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-17-B04,RKF-18+-MF-17,4,Braço/Força,Braço/Força,500,500 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-17-B05,RKF-18+-MF-17,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-17-B06,RKF-18+-MF-17,6,Principal,Principal + intervalos,2400,4×600: 100 A1@15 +100 A2@20 +100 A3@30 +2×50 AN1@45 +100 A1@20 +50 A3@30 +50 AN1@45; +1'15.,AN1|A3|A2|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-17-B07,RKF-18+-MF-17,7,Pós-série,Pós-série,400,400 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-17-B08,RKF-18+-MF-17,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,18
RKF-18+-MF-18-B01,RKF-18+-MF-18,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-18-B02,RKF-18+-MF-18,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-18-B03,RKF-18+-MF-18,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-18-B04,RKF-18+-MF-18,4,Braço/Força,Braço/Força,500,500 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-18-B05,RKF-18+-MF-18,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-18-B06,RKF-18+-MF-18,6,Principal,Principal + intervalos,2400,4×600: 100 A3@30 +100 A2@20 +100 A1@15 +100 A3@30 +100 A1@20 +2×50 AN1@45; +1'30 entre blocos.,AN1|A3|A2|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-18-B07,RKF-18+-MF-18,7,Pós-série,Pós-série,500,500 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-18-B08,RKF-18+-MF-18,8,Regenerativo,Regenerativo,500,500 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,19
RKF-18+-MF-19-B01,RKF-18+-MF-19,1,Aquecimento,Aquecimento,1000,1000 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-19-B02,RKF-18+-MF-19,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-19-B03,RKF-18+-MF-19,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-19-B04,RKF-18+-MF-19,4,Braço/Força,Braço/Força,500,500 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-19-B05,RKF-18+-MF-19,5,Pré-série,Pré-série,600,600 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-19-B06,RKF-18+-MF-19,6,Principal,Principal + intervalos,2400,3×800: 200 A1@20 +4×100 A3@30 +100 A1@20 +2×50 AN1@45; +1'45 entre blocos.,AN1|A3|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-19-B07,RKF-18+-MF-19,7,Pós-série,Pós-série,400,400 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-19-B08,RKF-18+-MF-19,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,20
RKF-18+-MF-20-B01,RKF-18+-MF-20,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-20-B02,RKF-18+-MF-20,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-20-B03,RKF-18+-MF-20,3,Perna,Perna,500,500 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-20-B04,RKF-18+-MF-20,4,Braço/Força,Braço/Força,500,500 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-20-B05,RKF-18+-MF-20,5,Pré-série,Pré-série,600,600 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-20-B06,RKF-18+-MF-20,6,Principal,Principal + intervalos,2400,8×300: 100 A1@20 +50 A3@30 +50 A1@15 +25 AN1@40 +25 A1@15 +25 máximo@1'30 +25 A1@30. Sem extra; após #4 apenas +2'.,AN1|A3|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-20-B07,RKF-18+-MF-20,7,Pós-série,Pós-série,500,500 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-20-B08,RKF-18+-MF-20,8,Regenerativo,Regenerativo,500,500 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,21
RKF-18+-MF-21-B01,RKF-18+-MF-21,1,Aquecimento,Aquecimento,1000,1000 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-21-B02,RKF-18+-MF-21,2,Técnica/Fundamento,Técnica,600,600 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-21-B03,RKF-18+-MF-21,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-21-B04,RKF-18+-MF-21,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-21-B05,RKF-18+-MF-21,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-21-B06,RKF-18+-MF-21,6,Principal,Principal + intervalos,2500,4×525: 300 A1@20 +150 A3@35 +75 AN1@50; +1'40 entre rounds. Depois 8×50 A1@15/forte@40 alternados.,AN1|A3|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-21-B07,RKF-18+-MF-21,7,Pós-série,Pós-série,400,400 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-21-B08,RKF-18+-MF-21,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,22
RKF-18+-MF-22-B01,RKF-18+-MF-22,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-22-B02,RKF-18+-MF-22,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-22-B03,RKF-18+-MF-22,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-22-B04,RKF-18+-MF-22,4,Braço/Força,Braço/Força,500,500 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-22-B05,RKF-18+-MF-22,5,Pré-série,Pré-série,500,500 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-22-B06,RKF-18+-MF-22,6,Principal,Principal + intervalos,2400,4×600: 100 A1@20 +2×100 A3@30 +100 A1@20 +2×50 AN1@45 +100 A1@30 +2×50 máximo@1'30. Sem extra obrigatório; 30–45s só se necessário.,AN1|A3|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-22-B07,RKF-18+-MF-22,7,Pós-série,Pós-série,500,500 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-22-B08,RKF-18+-MF-22,8,Regenerativo,Regenerativo,500,500 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,23
RKF-18+-MF-23-B01,RKF-18+-MF-23,1,Aquecimento,Aquecimento,900,900 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-23-B02,RKF-18+-MF-23,2,Técnica/Fundamento,Técnica,500,500 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-23-B03,RKF-18+-MF-23,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-23-B04,RKF-18+-MF-23,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-23-B05,RKF-18+-MF-23,5,Pré-série,Pré-série,600,600 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-23-B06,RKF-18+-MF-23,6,Principal,Principal + intervalos,2800,6×8×50: A1@10/A1@10/A2@15/A3@25/A1@10/A3@25/A1@10/AN1@40; +1'20 entre blocos. Mudar estilo. Depois 4×100=50 A1+50 A3 @30.,AN1|A3|A2|A1,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-23-B07,RKF-18+-MF-23,7,Pós-série,Pós-série,200,200 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-23-B08,RKF-18+-MF-23,8,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,24
RKF-18+-MF-24-B01,RKF-18+-MF-24,1,Aquecimento,Aquecimento,1000,1000 aquecimento,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,25
RKF-18+-MF-24-B02,RKF-18+-MF-24,2,Técnica/Fundamento,Técnica,600,600 técnica,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,25
RKF-18+-MF-24-B03,RKF-18+-MF-24,3,Perna,Perna,600,600 perna,,,,Perna,structured_from_source,READY,Treinos_18_Mais_MeioFundo,25
RKF-18+-MF-24-B04,RKF-18+-MF-24,4,Braço/Força,Braço/Força,400,400 braço,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,25
RKF-18+-MF-24-B05,RKF-18+-MF-24,5,Pré-série,Pré-série,600,600 pré,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,25
RKF-18+-MF-24-B06,RKF-18+-MF-24,6,Principal,Principal + intervalos,2400,6×4×100: #1 75A1+25A3@20; #2 50A1+50A3@25; #3 25A1+75A3@30; #4 50A1+25AN1+25A1@40; +1' entre blocos.,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,25
RKF-18+-MF-24-B07,RKF-18+-MF-24,7,Pós-série,Pós-série,400,400 pós,,,,,structured_from_source,READY,Treinos_18_Mais_MeioFundo,25
